Phi,PYS-2017-200137,PYS-2017-200138,PYS-2017-200139,PYS-2017-200141,PYS-2017-200142,PYS-2017-200144,PYS-2017-200145,PYS-2017-200146,PYS-2017-200147,PYS-2017-200148,PYS-2017-200149,PYS-2017-200150,PYS-2017-200151,PYS-2017-200152,PYS-2017-200153,PYS-2017-200127,PYS-2017-200128,PYS-2017-200129,PYS-2017-200130,PYS-2017-200131,PYS-2017-200132,PYS-2017-200133,PYS-2017-200135,PYS-2017-200136,PYS-2017-FAC,PYS-2017-IOB,PYS-2017-IPP,PYS-2017-ISV,PYS-2017-MAX
16.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.87,0,0,0,0,0,0,0,0,0,0,0.102,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.68,0,0,0,0,0,0,0.109,0,0.127,0.192,0.208,0.225,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.49,0,0,0,0,0,0.116,0.22,0.105,0.256,0.384,0.415,0.446,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.29,0,0,0,0,0.143,0.228,0.414,0.209,0.485,0.699,0.754,0.797,0.453,0,0.121,0,0.173,0,0.102,0,0,0.107,0.193,0,0,0,0,0,0
13.09,0,0,0,0.145,0.267,0.403,0.682,0.383,0.802,1.105,1.186,1.244,0.75,0,0.215,0,0.304,0,0.19,0.149,0.162,0.198,0.334,0,0,0,0,0,0
12.9,0,0,0,0.239,0.435,0.629,1.024,0.609,1.212,1.64,1.758,1.835,1.137,0,0.339,0.132,0.469,0.12,0.315,0.246,0.259,0.325,0.512,0.161,0,0,0,0,0
12.7,0.121,0.121,0.124,0.37,0.67,0.947,1.492,0.93,1.773,2.335,2.494,2.587,1.665,0,0.53,0.205,0.696,0.192,0.487,0.382,0.395,0.499,0.755,0.258,0,0,0,0,0
12.51,0.201,0.198,0.202,0.566,1.019,1.388,2.081,1.395,2.488,3.139,3.333,3.427,2.341,0.221,0.834,0.317,1.005,0.305,0.744,0.586,0.594,0.757,1.082,0.413,0,0,0,0,0
12.31,0.344,0.329,0.336,0.854,1.521,1.961,2.74,2.046,3.312,3.937,4.137,4.201,3.15,0.597,1.346,0.489,1.4,0.489,1.12,0.89,0.873,1.13,1.494,0.665,0,0,0,0,0
12.11,0.607,0.556,0.567,1.266,2.197,2.631,3.351,2.895,4.136,4.573,4.72,4.709,4.061,1.492,2.24,0.752,1.864,0.788,1.641,1.33,1.253,1.642,1.971,1.064,0,0,0.124,0,0
11.91,1.096,0.935,0.96,1.834,2.979,3.256,3.712,3.851,4.749,4.888,4.905,4.776,5.008,3.296,3.738,1.143,2.329,1.26,2.272,1.938,1.748,2.265,2.435,1.64,0,0,0.284,0,0
11.72,1.938,1.511,1.57,2.525,3.602,3.475,3.51,4.568,4.77,4.753,4.581,4.335,5.761,6.171,5.846,1.679,2.616,1.935,2.83,2.662,2.314,2.827,2.689,2.318,0,0,0.622,0,0
11.53,3.133,2.158,2.282,2.891,3.351,2.975,2.903,4.157,3.949,4.017,3.702,3.465,5.688,9.309,7.838,2.151,2.36,2.564,2.783,2.916,2.548,2.811,2.428,2.761,0,0,1.248,0.115,0
11.33,3.674,2.223,2.392,2.611,2.615,2.234,2.114,3.152,2.84,2.809,2.543,2.389,4.211,9.928,7.491,2.092,1.816,2.489,2.231,2.655,2.328,2.287,1.907,2.385,0.16,0,1.973,0.215,0.102
11.13,3.188,1.86,2.033,2.009,1.827,1.498,1.368,2.119,1.822,1.763,1.589,1.508,2.649,6.743,5.045,1.747,1.244,2.035,1.602,2.106,1.836,1.667,1.346,1.73,0.26,0.149,2.033,0.394,0.236
10.94,2.356,1.361,1.509,1.361,1.195,0.958,0.886,1.341,1.163,1.119,1.02,0.977,1.6,3.972,3.013,1.281,0.818,1.46,1.076,1.483,1.299,1.141,0.915,1.154,0.388,0.27,1.7,0.64,0.455
10.74,1.612,0.932,1.045,0.903,0.803,0.642,0.612,0.88,0.794,0.764,0.71,0.685,1.012,2.241,1.757,0.91,0.567,1.001,0.737,1.034,0.917,0.797,0.651,0.766,0.501,0.408,1.243,0.877,0.715
10.55,1.111,0.654,0.74,0.631,0.585,0.473,0.469,0.631,0.601,0.582,0.552,0.534,0.708,1.316,1.082,0.677,0.434,0.715,0.548,0.764,0.69,0.602,0.507,0.541,0.575,0.518,0.864,1.025,0.922
10.35,0.824,0.499,0.568,0.49,0.479,0.396,0.41,0.511,0.513,0.501,0.485,0.468,0.563,0.855,0.744,0.556,0.379,0.563,0.459,0.629,0.579,0.509,0.444,0.424,0.615,0.581,0.618,1.059,1.02
10.16,0.688,0.432,0.493,0.445,0.461,0.404,0.416,0.486,0.509,0.489,0.481,0.459,0.512,0.638,0.589,0.523,0.397,0.508,0.453,0.61,0.569,0.502,0.466,0.38,0.653,0.612,0.485,1.036,1.04
9.96,0.688,0.464,0.527,0.511,0.536,0.468,0.462,0.56,0.564,0.543,0.536,0.503,0.553,0.557,0.553,0.629,0.498,0.585,0.554,0.714,0.677,0.606,0.561,0.424,0.748,0.651,0.435,1.045,1.055
9.76,0.879,0.59,0.665,0.631,0.641,0.565,0.562,0.671,0.678,0.687,0.679,0.634,0.679,0.656,0.668,0.805,0.635,0.745,0.696,0.854,0.831,0.75,0.69,0.554,0.974,0.791,0.523,1.215,1.226
9.57,1.129,0.737,0.824,0.793,0.772,0.708,0.734,0.824,0.851,0.89,0.879,0.819,0.859,0.823,0.843,1.004,0.821,0.927,0.858,1.027,1.03,0.913,0.87,0.708,1.224,0.966,0.668,1.426,1.447
9.37,1.382,0.884,0.979,0.978,0.929,0.893,0.938,1.003,1.043,1.105,1.09,1.021,1.037,0.983,1.014,1.212,1.046,1.112,1.044,1.229,1.254,1.097,1.09,0.863,1.448,1.105,0.816,1.598,1.611
9.18,1.603,1.033,1.13,1.19,1.103,1.1,1.151,1.2,1.232,1.316,1.295,1.219,1.206,1.083,1.144,1.438,1.3,1.308,1.253,1.444,1.491,1.297,1.329,1.019,1.668,1.21,0.923,1.724,1.712
8.98,1.834,1.191,1.287,1.408,1.269,1.308,1.37,1.39,1.413,1.533,1.505,1.427,1.371,1.175,1.271,1.661,1.558,1.503,1.461,1.642,1.715,1.488,1.568,1.182,1.854,1.29,1.03,1.816,1.775
8.78,2.046,1.337,1.427,1.63,1.425,1.527,1.605,1.577,1.591,1.748,1.71,1.637,1.525,1.255,1.387,1.86,1.828,1.676,1.657,1.821,1.928,1.661,1.814,1.334,1.97,1.33,1.133,1.856,1.786
8.59,2.219,1.468,1.547,1.851,1.576,1.752,1.838,1.755,1.748,1.938,1.89,1.831,1.654,1.303,1.474,2.04,2.099,1.826,1.843,1.983,2.124,1.819,2.059,1.469,2.016,1.325,1.214,1.842,1.741
8.39,2.344,1.585,1.646,2.065,1.718,1.971,2.053,1.916,1.876,2.091,2.032,1.997,1.747,1.311,1.523,2.195,2.355,1.949,2.016,2.12,2.294,1.96,2.289,1.588,2.011,1.283,1.265,1.787,1.649
8.2,2.429,1.694,1.732,2.267,1.853,2.177,2.241,2.06,1.972,2.206,2.134,2.131,1.809,1.289,1.54,2.332,2.587,2.053,2.174,2.233,2.439,2.088,2.498,1.697,1.986,1.223,1.291,1.713,1.535
8,2.5,1.811,1.818,2.461,1.988,2.366,2.403,2.19,2.044,2.29,2.205,2.236,1.849,1.256,1.545,2.458,2.792,2.149,2.319,2.329,2.568,2.209,2.686,1.81,1.974,1.166,1.307,1.648,1.428
7.8,2.582,1.949,1.92,2.653,2.134,2.544,2.546,2.314,2.101,2.351,2.253,2.321,1.882,1.236,1.557,2.586,2.975,2.251,2.457,2.418,2.694,2.335,2.861,1.944,1.998,1.132,1.333,1.615,1.35
